epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.9289361702127659,0.8497759743004479,0.7777480132154656
8,0.9488578247528129,0.8653565605423496,0.7858313604079403
12,0.9602355149756805,0.8637186449444014,0.7787967718268526
16,0.96545694912363,0.8632869850591588,0.7924250781393639
21,0.9694114637733677,0.8606439618017409,0.7792138336750155
22,0.9720036674555961,0.8644819935142517,0.7795019848430169
23,0.9691742805908974,0.8536544005426489,0.7624398073836275
24,0.9699901956605141,0.8667920656634748,0.7912704880920041
25,0.9707649691029193,0.8606578385305423,0.7692585568499954
26,0.9726293333333333,0.8584474885844748,0.7728689275893675
27,0.9727063044592517,0.8741386829481029,0.7855018587360596
28,0.9733017478711825,0.8641025641025641,0.7697172282952389
29,0.9704427194404164,0.8675217353877938,0.7791377420533431
30,0.9751646805517066,0.8635320125839641,0.7790363178712693
31,0.972647096416855,0.859986389928547,0.7684172790822729
32,0.9746071679849904,0.859952526280095,0.7626348159372494
33,0.9730697882684065,0.8607766661014076,0.7642507781236106
34,0.9710568412072091,0.8542177849225824,0.7606335646912262
35,0.9751141844879839,0.861684944316926,0.7738233975795606
36,0.9735196841992958,0.8655231560891938,0.7810564663023678
37,0.9761889535503401,0.8596207805458718,0.7678523429800197
38,0.9765626666097973,0.8606431852986217,0.7721938546985577
39,0.9748687972010069,0.8549450549450549,0.7680142159040427
40,0.9768890975437997,0.8570213489835843,0.7717693480405344
41,0.9770090428254563,0.8638658338324634,0.7774146695715324
42,0.9759945422760414,0.8635121284591731,0.772986167615948
43,0.9755858333866392,0.8593710265321691,0.769506405088238
44,0.9775381467905548,0.8635361925750127,0.7740783718646791
45,0.9775721656078112,0.8567803062346672,0.7679686106652399
46,0.977506248264371,0.8650513063723376,0.7805504587155963
47,0.9773890784982936,0.8544458491361145,0.765388362412541
48,0.9771757679180887,0.8625560348473313,0.7774021352313167
49,0.9773910075932087,0.8606863744478424,0.7709247157819353
50,0.9788223250655804,0.8571186870823112,0.7686134641105662
